Year,Measure,Fishery,Gear,Area,Value,Unit
2011,Open,Roe herring,Gillnet,StraitofGeorgia,"Mar13, 2011 11:00h",
2011,Open,Roe herring,Gillnet,PrinceRupertDistrict,"Mar26, 2011 09:00h",
2011,Open,Roe herring,Seine,StraitofGeorgia,-,
2011,Open,Roe herring,Seine,PrinceRupertDistrict,Mar25 2011 11:45h,
2010,ExpectedUse,Roe herring,Gillnet,StraitofGeorgia,"3,480",tons
2010,ExpectedUse,Roe herring,Gillnet,PrinceRupertDistrict,"1,037",tons
2010,ExpectedUse,Roe herring,Seine,StraitofGeorgia,"5,020",tons
2010,ExpectedUse,Roe herring,Seine,PrinceRupertDistrict,500,tons
2010,QuotaIssued,Roe herring,Gillnet,StraitofGeorgia,"3,480",tons
2010,QuotaIssued,Roe herring,Gillnet,PrinceRupertDistrict,"1,037",tons
2010,QuotaIssued,Roe herring,Seine,StraitofGeorgia,"5,020",tons
